Date : 2026-05-24 20:07:04
Directory : c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico
Total : 92 files,  7981 codes, 709 comments, 1625 blanks, all 10315 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\docker-compose.yml                                    | YAML             |         58 |          2 |          5 |         65 |
| c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\docs\DDT.md                                           | Markdown         |        709 |          0 |        131 |        840 |
| c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\docs\diagrams\database-er.mmd                         | Mermaid Radar    |         91 |          0 |         10 |        101 |
| c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\docs\diagrams\flujo-asistente.mmd                     | Mermaid Radar    |         19 |          0 |          5 |         24 |
| c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\docs\flujos-guiados-control-operativo.md              | Markdown         |        125 |          0 |         49 |        174 |
| c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\docs\pruebas-flujos-guiados.md                        | Markdown         |        108 |          0 |         77 |        185 |
| c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\erDiagram.mmd                                         | Mermaid Radar    |        122 |          0 |         12 |        134 |
| c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\frontend\Dockerfile                                   | Docker           |         14 |          2 |         12 |         28 |
| c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\frontend\README.md                                    | Markdown         |         20 |          0 |         10 |         30 |
| c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\frontend\index.html                                   | HTML             |         14 |          0 |          1 |         15 |
| c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\frontend\package.json                                 | JSON             |         29 |          0 |          1 |         30 |
| c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\frontend\postcss.config.js                            | JavaScript       |          6 |          0 |          1 |          7 |
| c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\frontend\src\App.jsx                                  | JavaScript JSX   |         72 |          6 |         11 |         89 |
| c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\frontend\src\components\Chat\ChatContainer.jsx        | JavaScript JSX   |        189 |         21 |         27 |        237 |
| c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\frontend\src\components\Chat\InputBar.jsx             | JavaScript JSX   |         41 |          4 |          5 |         50 |
| c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\frontend\src\components\Chat\MenuOptions.jsx          | JavaScript JSX   |         61 |          6 |          5 |         72 |
| c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\frontend\src\components\Chat\MessageBubble.jsx        | JavaScript JSX   |         77 |         11 |         12 |        100 |
| c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\frontend\src\components\Chat\QuickReplies.jsx         | JavaScript JSX   |         23 |          3 |          2 |         28 |
| c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\frontend\src\components\Chat\RouteHeader.jsx          | JavaScript JSX   |         36 |          9 |          5 |         50 |
| c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\frontend\src\components\Diagnosis\ConfidenceBadge.jsx | JavaScript JSX   |         17 |          4 |          3 |         24 |
| c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\frontend\src\components\Diagnosis\DiagnosisResult.jsx | JavaScript JSX   |         76 |         13 |         13 |        102 |
| c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\frontend\src\components\Diagnosis\HypothesisList.jsx  | JavaScript JSX   |         21 |          3 |          2 |         26 |
| c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\frontend\src\components\UI\ErrorMessage.jsx           | JavaScript JSX   |         17 |          3 |          1 |         21 |
| c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\frontend\src\components\UI\FeedbackModal.jsx          | JavaScript JSX   |         87 |          3 |          8 |         98 |
| c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\frontend\src\components\UI\PhaseBar.jsx               | JavaScript JSX   |         51 |          7 |          5 |         63 |
| c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\frontend\src\components\UI\Spinner.jsx                | JavaScript JSX   |          8 |          3 |          1 |         12 |
| c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\frontend\src\hooks\useChat.js                         | JavaScript       |         82 |         17 |         12 |        111 |
| c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\frontend\src\hooks\useSession.js                      | JavaScript       |         35 |          6 |          7 |         48 |
| c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\frontend\src\index.css                                | PostCSS          |         18 |          2 |          4 |         24 |
| c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\frontend\src\main.jsx                                 | JavaScript JSX   |          9 |          0 |          2 |         11 |
| c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\frontend\src\services\api.js                          | JavaScript       |         42 |         37 |         10 |         89 |
| c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\frontend\src\utils\messageTypes.js                    | JavaScript       |         11 |         10 |          3 |         24 |
| c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\frontend\tailwind.config.js                           | JavaScript       |         14 |          1 |          1 |         16 |
| c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\frontend\vite.config.js                               | JavaScript       |         22 |          2 |          2 |         26 |
| c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\scripts\reset_db.sh                                   | Shell Script     |         27 |          3 |          7 |         37 |
| c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\scripts\run-flujo-guiado.ps1                          | PowerShell       |        133 |          7 |         21 |        161 |
| c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\scripts\seed_db.sh                                    | Shell Script     |         14 |          2 |         10 |         26 |
| Total                                                                                                         |                  |      7,981 |        709 |      1,625 |     10,315 |
+---------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
